frame_nr;type;score;center_x;center_y
134690;1;0.26254646026789796;9;4
134691;0;0.3747658520944384;10;15
134692;0;0.27646616995408807;10;15
134693;0;0.41583631336763177;10;15
134694;0;0.4075839310891894;13;18
134695;1;0.1567450567454065;15;5
134696;1;0.3224090143412317;16;16
134697;1;0.1986810966700281;19;5
134698;1;0.22119543993174684;18;16
134700;1;0.6073893114298548;20;16
134701;1;0.5326657100886072;20;16
134702;1;0.6418528362482752;23;16
134703;1;0.32554737770259035;23;16
134704;1;0.6875456377238001;25;16
134705;1;0.26778505289256227;28;16
134706;1;0.9142830177515711;28;16
134707;1;0.7086692854136194;28;18
134708;1;0.8204700752466882;30;16
134709;1;0.13927773678004396;30;18
134710;1;0.495014767286178;32;16
134711;0;0.5826105266816881;33;10
134712;1;0.5904296442240442;35;18
134713;1;0.3878256484240259;35;18
134714;1;0.5900649830073084;37;18
134715;1;0.41261015379130495;39;19
134716;1;0.38009343588053834;40;18
134717;1;0.48978887045085084;42;19
134718;1;0.4767742558687891;42;18
134719;0;0.2627244383104113;44;18
134720;0;0.24169246256425653;44;18
134721;0;0.48099354803636346;47;18
134722;0;0.4508777052171496;47;18
134723;0;0.10653559267595086;41;5
134724;0;0.12383959591462884;48;5
134726;0;0.15342489779069696;48;5
134727;1;0.23215077364146364;59;20
134728;0;0.23120723068788324;48;5
134729;1;0.4218512579172815;52;18
134730;1;0.859129290220138;54;18
134731;1;0.7447050615519251;54;18
134732;1;0.1331428691118921;56;18
134733;1;0.363512138959762;56;18
134734;1;0.1935574814051355;59;18
134735;1;0.2760082884997095;59;18
134736;1;1.3121610685557092;64;20
134736;0;0.5656967550523546;68;21
134737;1;1.6072436376780237;66;20
134737;0;0.6168867737062242;68;21
134738;1;1.6183355852335657;66;20
134738;0;0.6820396572358873;68;21
134739;1;0.45709172928034913;66;20
134740;1;0.24183313095271242;68;22
134741;1;0.17109576904475343;76;7
134742;1;0.3157588049143518;76;7
134743;1;0.3120137258738245;71;23
134744;1;0.27627048933207643;71;23
134745;1;0.6128350301951135;73;23
134746;1;0.728218416807052;73;23
134747;1;0.2791149421900476;73;25
134748;1;0.2172314330309595;77;28
134749;1;0.5767682596415247;78;23
134750;1;0.558390478727218;78;25
134751;1;0.6484668060511316;78;28
134752;1;0.5986511512964929;78;30
135219;0;0.7193986564882067;7;12
135220;0;1.363241949678209;8;12
135221;0;0.8971107393510607;11;12
135222;0;1.065901795030382;16;12
135223;0;1.0322086006410387;20;12
135224;0;0.8693542867906359;23;14
135225;0;0.9181875377900865;28;14
135226;0;0.9175491720445421;32;14
135227;0;0.7379551321275499;37;14
135228;0;0.7698443323381212;42;15
135229;0;0.7939064890153673;48;17
