frame_nr;type;score;center_x;center_y
20872;0;0.6833150629815617;91;58
20873;0;0.6958261971292058;87;58
20874;0;0.8942922596749822;87;58
20875;0;0.6869975571450749;86;60
20876;0;0.7927315478143254;86;60
20877;0;0.9213997368630925;83;58
20878;0;0.9158777241525212;81;60
20879;0;1.1054940466699161;81;60
20880;0;1.3369952683267154;79;58
20881;0;0.9534367565927068;76;60
20882;0;0.9854047541436711;75;58
20883;0;0.7674355749902287;75;67
20884;0;0.7090848927316228;72;60
20885;0;0.46434679077239427;69;67
20886;0;0.7948321347054997;69;67
20887;0;0.6702454333123723;67;65
20888;0;0.48705651805968675;64;67
20889;0;0.9893503432092229;64;67
20890;0;1.1207016949471988;64;67
20891;0;0.8445025925454656;64;67
20892;0;0.7220978979882756;64;67
20893;0;0.45479407356353196;64;67
20894;0;0.37026550815673265;64;67
20895;0;0.3393571619805852;62;70
20896;0;0.5774979834374944;62;70
20897;0;0.6013516430673161;62;70
20898;0;0.48773422287078294;62;70
20899;0;0.6716411356744328;62;70
20900;0;0.7171212677773992;62;70
20901;0;0.5424331669625798;64;67
20902;0;0.450703645211176;64;67
20903;0;0.6144937519845525;64;67
20904;0;0.6377635245141545;64;67
20905;0;0.5307878498849431;64;67
20906;0;0.2795119528588811;64;72
20907;0;0.28411903427215013;64;72
20908;0;0.15666225002379808;64;72
20909;0;0.2708055023965398;64;72
20910;0;0.3607477192697087;64;72
20911;0;0.3782133107003728;62;70
20912;0;0.2877162937936345;64;72
20913;0;0.32274355934234056;64;67
20914;0;0.334834242325739;64;67
20915;0;0.3466021065530339;64;67
20916;0;0.3566153292474309;64;67
20917;0;0.3729809765634099;64;67
20918;0;0.3350565676507512;64;67
20919;0;0.4851601366815129;64;67
20920;0;0.4450048451242009;64;67
20921;0;0.3448703532037297;64;67
20922;0;0.3215874676522771;62;70
20923;0;0.38056733654113206;64;67
20924;0;0.35664548919768724;62;70
20925;0;0.24035968826384935;64;67
20926;0;0.19793369815917405;64;67
20927;0;0.31941690490813646;64;67
20928;0;0.28565623806090745;64;67
20929;0;0.2865832094964543;64;67
20930;0;0.23966624782653245;64;72
20931;0;0.22373917148681077;64;72
20932;0;0.6722871308145085;64;72
20933;0;0.5539057497796575;64;72
20934;0;0.6711077933129826;64;67
20935;0;0.6016795878228703;64;67
20936;0;0.7328591589746037;64;67
20937;0;0.5997495894250432;64;67
20938;0;0.590725446206049;64;67
20939;0;0.6701982264337102;64;67
20940;0;0.5749806408700505;64;67
20941;0;0.6216908936318913;64;67
20942;0;0.68389668510528;64;67
20943;0;0.6525017266091863;64;67
20944;0;0.8530037646112004;64;67
20945;0;0.9027548079309026;64;67
20946;0;0.7496637348947087;64;67
20947;0;0.8202268128213445;64;67
20948;0;0.953104997139887;64;67
20949;0;0.8707521204766789;64;67
20950;0;0.9191551451501409;64;67
20951;0;0.9497328047570744;64;67
20952;0;0.9436973576364079;64;67
20953;0;1.0306711439904728;64;67
20954;0;1.0380691532907047;64;67
20955;0;0.9553573374566594;64;67
20956;0;0.792846823197321;64;67
20957;0;0.6067819838342229;64;67
20958;0;0.5545877461251775;64;67
20959;0;0.5663277153787175;64;67
20960;0;0.6338310484704534;64;67
20961;0;0.49342181728454027;64;67
20962;0;0.5611442570504704;64;67
20963;0;0.4117625002679387;62;70
20964;0;0.6207225565728703;58;67
20965;0;0.6270457749185124;57;70
20966;1;0.020011912281150623;53;66
20967;0;0.0593072418984929;52;65
20968;0;0.3258942608651677;52;67
20969;0;0.2294063811120549;52;67
20970;0;0.1661873106774846;52;70
20971;1;0.27347464411937694;53;66
20972;1;0.2938672408410261;53;66
20973;1;0.5680382952042768;53;66
20974;1;0.36425299494945507;53;66
20975;1;0.3408773645707319;53;66
20976;1;0.29981196969234447;50;65
20977;1;0.24883551448070507;50;65
20978;1;0.429066251213188;50;65
20979;1;0.37288637011730175;50;65
20980;1;0.22359562962734203;50;65
20981;1;0.05626011937343578;50;65
20987;1;0.022019426519508167;46;65
20988;1;0.18730754702770214;46;65
20989;1;0.17813159077846508;46;65
20990;1;0.1042778000184248;45;62
20991;1;0.1551060184785078;46;65
20992;1;0.2274864420243452;46;65
20993;1;0.10953856557094555;46;65
20994;1;0.11489213555538158;46;65
20995;1;0.05664635747158031;46;65
20996;1;0.1008084520646284;45;62
20997;1;0.14823944419109325;46;65
20998;1;0.21002222150051097;46;65
20999;1;0.19643319695674877;46;65
21000;1;0.20143009274684887;46;65
21001;1;0.2015830978699873;46;65
21002;1;0.24893356412136058;46;65
21003;1;0.46438021510326366;46;65
21004;1;0.6288346752473066;46;65
21005;1;0.5144059166260908;46;65
21006;1;0.41518635600292186;46;65
21007;1;0.43103737681591014;46;65
21008;1;0.47967411130153637;46;65
21009;1;0.38474483340465526;46;65
21010;1;0.2565484151192854;46;65
21011;1;0.14052737801753978;45;62
21012;1;0.1793807849236677;45;62
21013;1;0.2662168845483015;46;65
21014;1;0.27818305342876415;46;65
21015;1;0.34895117133342723;46;65
