frame_nr;type;score;left;top;height;width
64358;0;0.887209692598131;26;6;88;58
64359;0;1.187744656205919;45;6;88;58
64360;0;0.9687546879060533;64;6;88;58
64361;0;0.7780110031373766;77;8;105;70
64362;0;0.33768520653322015;100;8;105;70
64363;0;0.7730580955751207;131;16;87;59
64364;0;1.0818620115525988;150;16;87;59
64365;0;1.0010149866349962;179;16;87;59
64366;0;1.4923752933748033;204;19;105;70
64367;0;0.9642334371812609;227;19;105;70
64368;0;0.36392472088411126;250;31;105;70
64376;0;0.1296145111329821;-11;21;73;57
64377;0;1.4497002750642565;6;6;88;59
64378;0;1.2056334406144884;26;6;88;58
64379;0;1.012013831735399;53;13;73;49
64380;0;0.9386003404863146;74;6;88;58
64381;0;1.331310787797716;102;16;87;59
64382;0;1.2653829246766832;131;16;87;59
64383;0;1.030993142724779;160;16;87;59
64384;0;1.2919251114137438;181;19;105;70
64385;0;1.3279773384340074;215;19;105;70
64386;0;1.165414848924425;238;31;105;70
64387;0;0.22734937965944085;273;31;105;70
74347;0;0.4044899731881884;-22;6;88;68
74348;0;1.0531816869981554;5;13;73;49
74349;0;1.4424984842546251;6;6;88;59
74350;0;1.33559016287401;16;6;88;59
74351;0;1.0836851984269884;26;6;88;58
74352;0;1.0734277158983019;35;6;88;59
74353;0;0.9269607454545763;45;6;88;58
74354;0;0.7682347685106066;64;6;88;58
74355;0;1.19873074591234;74;6;88;58
74356;0;1.1563161998994615;83;6;88;59
74357;0;1.0036501079805162;102;6;88;59
74358;0;1.0570309549577501;112;16;87;59
74359;0;1.5191210895784166;121;16;87;59
74360;0;1.5025940328843859;141;16;87;58
74361;0;1.54060188829973;146;8;105;70
74362;0;1.211207905412462;158;8;105;70
74363;0;1.205208936334398;181;8;105;70
74364;0;1.2490817695863512;192;19;105;70
74365;0;1.5851935535676744;215;19;105;70
74366;0;1.848600187898424;227;19;105;70
74367;0;1.4966203361757067;6;6;88;59
74368;0;1.3570497423417833;29;13;73;49
74369;0;0.9624234825380114;35;6;88;59
74370;0;0.7451371341951158;54;6;88;59
74371;0;0.94080678522661;64;6;88;58
74372;0;0.8186848551042345;83;6;88;59
74373;0;1.1723795324571398;93;16;87;58
74374;0;1.4072448402650621;112;16;87;59
74375;0;1.1713287025697496;131;16;87;59
74376;0;1.3862947613008287;150;16;87;59
74377;0;1.3458799511201647;170;16;87;58
74378;0;1.2198729902513292;181;8;105;70
74379;0;1.556368866563585;192;19;105;70
74380;0;1.214643397928026;215;19;105;70
74381;0;1.3087945371873644;238;19;105;70
74382;0;1.1211471945054796;256;35;87;59
74383;0;0.37727574408128534;273;31;105;70
74499;0;0.1258231192834643;-19;13;73;57
74500;0;0.7698146492250231;-11;13;73;57
74501;0;1.3800413995988634;6;6;88;59
74502;0;1.1036166340120104;16;6;88;59
74503;0;0.6774970680482653;35;6;88;59
74504;0;0.8359301477678087;45;6;88;58
74505;0;1.1524486929185656;64;6;88;58
74506;0;1.0035839468248156;74;6;88;58
74507;0;1.2860191255815294;93;6;88;58
74508;0;1.1871344238527086;112;6;88;59
74509;0;0.8206169992692736;131;16;87;59
74510;0;0.770612636209276;150;16;87;59
74511;0;1.105922260881212;158;8;105;70
74512;0;1.135593333841112;179;16;87;59
74513;0;1.3774189144380358;192;19;105;70
74514;0;1.3210375696428087;215;19;105;70
74515;0;1.006169834733751;227;19;105;70
74516;0;0.5751576811082628;250;19;105;70
74517;1;0.15029005253016603;257;-102;264;96
76015;0;0.9592826753862169;5;13;73;49
76016;0;0.6128646522767809;16;6;88;59
76017;0;0.785244622827318;35;6;88;59
76018;0;0.5464296728379991;54;6;88;59
76019;0;0.6076937109239366;74;6;88;58
76020;0;0.35512910187318597;93;6;88;58
76021;0;0.25546214878633294;112;6;88;59
76022;0;0.45294288694932733;131;16;87;59
76023;0;0.36104301512315545;146;8;105;70
76024;0;0.7027986437089708;169;8;105;70
76025;0;0.5468387395150927;192;19;105;70
76026;0;0.8966882616288927;215;19;105;70
