frame_nr;type;score;left;top;right;bottom
55329;0;0.2624;4;46;38;101
55329;0;0.1979;50;41;74;79
55330;0;0.5830;4;46;38;101
55330;1;0.3859;50;36;69;84
55331;0;0.9383;3;49;31;95
55331;1;0.5606;3;44;26;101
55331;0;0.2841;43;44;72;90
55332;1;0.3007;3;44;26;101
55333;1;0.6715;2;50;21;98
55333;1;0.2400;43;32;66;90
55334;1;0.4234;43;32;66;90
55335;0;0.3025;37;38;66;84
55335;1;0.2734;43;32;66;90
55336;1;0.2125;40;36;59;84
55337;1;0.4857;40;41;59;89
55338;1;0.5470;40;41;59;89
55339;1;0.1010;36;36;55;84
55340;1;0.1936;36;41;55;89
55346;0;0.1394;5;38;46;105
55347;0;0.2430;4;39;38;94
55348;0;0.4749;4;39;38;94
55349;0;0.3389;-10;39;31;94
55350;1;0.7116;3;38;26;95
55351;1;0.6493;3;38;26;95
55352;1;0.2835;-9;44;20;101
59253;1;0.0424;151;31;170;79
59271;0;0.0732;101;42;121;74
59272;0;0.7944;97;42;117;74
59273;0;0.5900;93;41;117;79
59274;0;0.5861;93;42;113;74
59275;0;0.6138;89;42;109;74
59276;0;0.6658;85;42;105;74
59277;0;1.0510;85;42;105;74
59278;0;0.8218;81;42;101;74
59279;0;0.5860;77;42;97;74
59280;0;0.7092;73;42;93;74
59281;0;1.1793;69;41;93;79
59282;0;0.7151;69;46;89;78
59283;0;1.0608;64;41;88;79
59284;0;1.0990;59;41;84;79
59285;0;0.7164;55;41;79;79
59286;0;0.6409;55;41;79;79
59287;0;1.0298;50;41;74;79
59288;0;0.5717;49;46;69;78
59289;1;0.7769;49;42;65;82
59289;0;0.5675;45;46;69;84
59290;0;0.9094;40;46;64;84
59290;1;0.8139;45;42;61;82
59291;0;0.7088;36;46;59;84
59292;0;0.8406;36;46;59;84
59293;1;0.5479;37;46;53;86
59293;0;0.3110;26;44;55;90
59294;0;0.2985;65;46;85;78
59295;0;0.3713;61;46;81;78
59296;0;0.2707;55;46;79;84
59297;0;0.7202;55;46;79;84
59297;0;0.6767;8;44;37;90
59298;0;1.0453;4;46;38;101
59298;0;0.7251;50;46;74;84
59299;0;1.0885;3;49;31;95
59299;0;1.0192;49;50;69;82
59300;0;0.6908;45;46;69;84
59300;0;0.2577;3;49;31;95
59301;0;0.6652;40;46;64;84
59301;1;0.1637;2;46;21;94
59302;1;0.4602;1;54;17;94
59302;0;0.1811;36;46;59;84
59303;1;0.3014;37;46;53;86
59304;1;0.8315;37;50;53;90
59305;1;0.3964;37;50;53;90
59307;1;0.2118;17;50;33;90
59308;0;0.1357;12;50;36;89
59309;0;0.7154;8;49;37;95
59310;0;1.1391;3;49;31;95
59311;0;0.8788;2;55;26;94
59312;1;0.5808;2;55;21;103
59313;1;0.1839;-8;55;16;103
80422;0;0.3115;97;42;117;74
80423;0;0.2955;93;42;113;74
80425;0;0.1724;85;42;105;74
80427;0;0.1016;79;41;103;79
80428;0;0.6904;74;41;98;79
80429;0;0.6182;69;41;93;79
80430;0;0.7819;69;41;93;79
80431;0;0.5921;64;41;88;79
80432;0;0.5402;65;46;85;78
80433;0;0.2678;61;46;81;78
80434;0;0.2636;57;46;77;78
80435;0;0.2357;55;41;79;79
80436;0;0.7311;50;46;74;84
80437;0;0.8936;45;46;69;84
80438;1;0.6248;49;42;65;82
80439;0;0.7631;40;46;64;84
80440;0;0.2308;36;46;59;84
80441;0;0.4712;31;44;60;90
80442;1;0.3463;37;46;53;86
80445;1;0.3648;16;46;36;94
80446;0;1.0133;4;46;38;101
80447;0;0.8101;3;49;31;95
80448;1;0.7673;3;44;26;101
80449;1;0.4493;2;50;21;98
80450;1;0.5277;-8;50;16;98
82785;0;0.0453;89;42;109;74
82786;0;0.8803;79;41;103;79
82787;0;0.9405;74;41;98;79
82788;0;0.7556;69;41;93;79
82789;0;0.8153;60;44;89;90
82790;0;0.8595;55;46;79;84
82791;0;0.8276;50;46;74;84
82792;0;0.9109;40;46;64;84
82793;0;0.9338;36;46;59;84
82794;1;0.4503;37;46;53;86
82796;0;1.3758;4;46;38;101
82797;0;1.0184;-9;49;26;95
82798;1;0.0434;-7;54;13;94
84035;1;0.0359;125;46;141;86
84040;0;0.0774;101;42;121;74
84041;0;0.6313;97;42;117;74
84042;0;0.5142;93;42;113;74
84043;0;0.0990;88;41;112;79
84044;0;0.3939;85;42;105;74
84045;0;0.7375;79;41;103;79
84046;0;0.9265;74;41;98;79
84047;0;0.7188;69;41;93;79
84048;0;0.9360;64;41;88;79
84049;0;0.7933;64;41;88;79
84052;0;0.3503;43;44;72;90
84053;0;0.7851;37;44;66;90
84054;1;0.6639;45;46;61;86
84055;1;0.9464;37;46;53;86
84056;1;0.7265;33;46;49;86
84058;1;0.6831;17;46;33;86
84059;1;1.4596;13;50;29;90
84060;0;0.7020;-9;49;26;95
84061;1;0.2805;-8;50;16;98
85796;0;0.2256;93;42;113;74
85797;0;0.1593;89;46;109;78
85798;0;0.2670;81;46;101;78
85799;0;0.3044;77;46;97;78
85800;0;0.6671;69;46;89;78
85801;0;0.5612;59;46;84;84
85802;0;0.8786;55;46;79;84
85803;0;0.7477;45;46;69;84
85804;0;1.2839;40;46;64;84
85805;0;0.5389;36;46;59;84
85807;0;0.6176;8;49;37;95
85808;0;1.1885;3;49;31;95
85809;0;0.6142;-8;55;21;94
86691;0;0.3138;85;46;105;78
86693;0;0.1165;81;46;101;78
86694;0;0.6530;77;46;97;78
86695;0;0.3456;77;46;97;78
86696;0;1.0538;73;46;93;78
86697;0;0.4892;69;46;89;78
86698;0;0.0445;65;46;85;78
86699;0;0.4298;65;46;85;78
86700;0;0.5197;61;46;81;78
86701;0;0.2968;61;46;81;78
86702;0;0.2357;57;46;77;78
86703;0;0.4954;50;46;74;84
86704;0;0.4176;50;46;74;84
86705;0;0.8248;45;46;69;84
86706;1;0.8381;49;46;65;86
86707;0;0.9007;40;50;64;89
86708;0;0.6316;40;50;64;89
86709;0;0.6427;36;50;59;89
86710;1;0.0765;37;50;53;90
86711;1;0.2265;37;50;53;90
86714;0;0.4322;12;50;36;89
86715;0;0.5673;8;49;37;95
86716;0;0.9224;3;49;31;95
86717;0;0.8248;3;49;31;95
86718;0;1.2036;2;55;26;94
86719;0;0.6125;-8;60;21;98
95561;0;0.2122;97;46;117;78
95562;0;0.0912;93;42;113;74
95563;0;0.2027;85;46;105;78
95564;0;0.3946;81;46;101;78
95565;0;0.0244;74;46;98;84
95566;0;0.3958;69;46;89;78
95567;0;0.5205;65;46;85;78
95568;0;0.0130;61;46;81;78
95569;0;0.6753;50;46;74;84
95570;0;0.9920;45;46;69;84
95571;0;1.1848;40;46;64;84
95572;0;0.7533;36;46;59;84
95573;1;0.7214;37;50;53;90
95575;1;0.2126;16;46;36;94
95576;0;1.1177;3;49;31;95
95577;1;1.0484;9;54;25;94
95578;1;0.5681;-8;50;16;98
95614;0;0.4809;93;41;117;79
95615;0;0.7310;88;41;112;79
95616;0;0.6629;85;42;105;74
95617;0;0.5419;81;42;101;74
95618;0;0.2545;73;42;93;74
95619;0;0.8225;64;41;88;79
95620;0;0.6622;59;41;84;79
95621;0;1.1462;55;41;79;79
95622;0;0.6601;50;41;74;79
95623;0;0.8581;40;46;64;84
95624;0;1.1081;36;46;59;84
95625;1;0.6851;37;50;53;90
95627;0;0.8144;4;46;38;101
95628;1;1.0574;2;46;21;94
95629;1;0.3188;-8;50;16;98
95688;0;0.0503;88;41;112;79
95689;0;0.1325;84;41;108;79
95690;0;0.4651;81;46;101;78
95691;0;0.3844;77;46;97;78
95692;0;0.2997;73;46;93;78
95693;0;0.8845;69;46;89;78
95694;0;0.5050;64;46;88;84
95696;0;0.2469;55;46;79;84
95697;0;0.8911;50;46;74;84
95698;0;1.1172;45;46;69;84
95699;0;0.9385;40;46;64;84
95700;0;0.7527;36;46;59;84
95701;1;0.7333;37;46;53;86
95703;1;0.5100;16;46;36;94
95704;0;0.6895;4;46;38;101
