74359;b;0.451144;0;39;15
74360;b;0.469314;0;41;15
74365;b;0.696613;0;60;17
74366;b;0.725871;0;7;13
74366;b;0.720536;0;65;17
74368;b;0.31344;0;72;20
74369;b;0.321799;0;15;12
74369;b;0.0705265;0;74;23
74370;b;0.703813;0;20;15
74371;b;0.910158;0;23;15
74375;b;0.653621;0;39;15
74376;b;0.426775;0;44;15
74377;b;0.64012;0;47;17
74381;b;0.770157;0;68;20
74382;b;0.835623;0;71;20
74383;b;0.26022;0;74;20
74499;b;0.163493;0;4;13
74500;b;0.101178;0;7;13
74501;b;0.265633;0;9;13
74503;b;0.585825;0;15;12
74504;b;0.64439;0;20;12
74505;b;0.697285;0;23;12
74506;b;0.702724;0;25;12
74507;b;0.709334;0;31;15
74508;b;0.603767;0;33;15
74509;b;0.550988;0;39;15
74510;b;0.715163;0;44;15
74511;b;0.792069;0;47;15
74515;b;0.489342;0;66;20
74516;b;0.415108;0;71;20
74517;b;0.157349;0;73;23
76014;p;0;0.0275242;4;7
76015;b;0.449508;0;7;11
76016;b;0.45918;0;11;11
76019;b;0.466249;0;25;12
76020;b;0.927242;0;28;15
76021;b;0.842212;0;33;15
76022;b;0.598011;0;39;15
76023;b;0.737673;0;44;15
76026;b;0.888448;0;63;17
76027;b;0.768365;0;68;20
76028;b;0.582186;0;72;20
76029;b;0.139296;0;75;21
76073;b;0.215156;0;12;15
76074;b;0.464868;0;15;15
76075;b;0.361593;0;17;15
76076;b;0.332229;0;23;15
76077;b;0.550128;0;25;15
76078;b;0.537588;0;31;15
76079;b;0.572244;0;33;15
76081;b;0.355252;0;41;17
76082;b;0.481347;0;47;17
76082;b;0.158454;0;7;15
76083;b;0.620102;0;49;17
76083;b;0.0880116;0;9;15
76084;b;0.730386;0;55;17
76084;b;0.0450813;0;11;15
76085;b;0.499983;0;60;17
76086;b;0.346055;0;66;20
76087;b;0.47312;0;71;20
76088;b;0.140495;0;72;23
76089;b;0.346685;0;31;17
76090;b;0.308087;0;33;17
76091;b;0.297053;0;39;17
76091;b;0.0775238;0;7;13
76092;b;0.339078;0;44;17
76092;b;0.22971;0;12;12
76093;b;0.561191;0;15;12
76093;b;0.260332;0;47;17
76094;b;0.809775;0;17;12
76094;b;0.262257;0;52;20
76095;b;0.98644;0;20;12
76095;b;0.459699;0;57;20
76096;b;0.887842;0;23;12
76096;b;0.584285;0;63;20
76097;b;0.169176;0;68;23
76098;b;0.224391;0;28;15
76098;b;0.210885;0;71;23
76099;b;0.746791;0;33;15
76100;b;0.838235;0;36;15
76101;b;0.652443;0;39;15
76102;b;0.67693;0;44;15
76103;b;0.643728;0;47;15
76107;b;0.590027;0;65;17
76108;b;0.79246;0;68;17
76109;b;0.643088;0;71;20
76111;b;0.844092;0;25;13
76112;b;0.921659;0;31;15
76113;b;0.544588;0;36;15
76114;b;0.786131;0;44;15
76115;b;0.622626;0;49;15
76116;b;0.640872;0;57;17
76117;b;0.852068;0;63;17
76118;b;0.512297;0;68;20
76119;b;0.163271;0;72;20
89935;b;0.748255;0;71;20
101796;b;0.359811;0;5;13
101799;b;0.916719;0;17;12
101800;b;0.704185;0;23;12
101801;b;0.659618;0;28;15
101802;b;0.760158;0;33;15
101803;b;0.613463;0;39;15
101807;b;0.771285;0;65;17
101808;b;0.404301;0;73;19
102416;b;0.51767;0;13;13
102417;b;0.414345;0;17;12
102418;b;0.426711;0;23;15
102420;b;0.714415;0;33;15
102421;b;0.593719;0;39;15
102425;b;0.418415;0;65;20
102426;b;0.665468;0;71;20
102427;b;0.0501127;0;74;21
103556;b;0.966792;0;7;13
103557;b;0.562544;0;13;13
103558;b;0.53192;0;20;15
103560;b;0.132285;0;36;15
104906;b;0.398715;0;15;12
104907;b;0.912831;0;20;15
104908;b;0.946102;0;28;15
104909;b;0.737877;0;33;15
104910;b;0.70993;0;41;17
104911;b;0.937928;0;52;17
104912;b;0.667007;0;60;20
104913;b;0.788073;0;68;20
104914;b;0.23612;0;74;23
104948;b;0.742745;0;39;15
104949;b;0.111444;0;47;15
104950;b;0.433375;0;55;16
104951;b;0.406138;0;63;17
104952;b;0.506542;0;71;20
104953;b;0.215048;0;74;23
105201;b;0.61875;0;31;15
105202;b;0.349942;0;36;15
105203;b;0.144195;0;44;15
105204;b;0.253998;0;52;17
105205;b;0.756948;0;57;17
105206;b;0.566071;0;65;20
105207;b;0.450059;0;72;20
105220;b;0.133728;0;4;13
105221;b;0.456186;0;7;13
105223;b;0.421293;0;17;15
105224;b;0.495904;0;23;15
105225;b;0.907053;0;31;15
105226;b;0.931163;0;36;15
105227;b;0.880887;0;44;15
105228;b;1.10323;0;52;17
105229;b;0.781979;0;60;17
105230;b;0.889032;0;65;20
105231;b;0.467853;0;72;20
113576;b;0.452197;0;23;12
113577;b;0.508287;0;31;15
113578;b;0.983493;0;36;15
113579;b;0.586073;0;41;15
113580;b;0.465754;0;49;17
113582;b;0.214163;0;63;20
113583;b;0.31256;0;71;20
113584;b;0.354894;0;74;23
115379;b;1.00658;0;13;13
115383;b;1.20786;0;37;13
115384;b;0.599028;0;45;15
